trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
trip_1,08:00:00,08:05:00,1,1,0
trip_1,08:10:00,08:10:00,4,2,0
trip_1,08:15:00,08:15:00,5,3,0
trip_1,08:20:00,08:20:00,9,4,0
trip_1,08:25:00,08:25:00,8,5,0
trip_1,08:30:00,08:35:00,1,6,0

trip_2,09:00:00,09:05:00,1,1,0
trip_2,09:15:00,09:20:00,3,2,0
trip_2,09:25:00,09:30:00,24,3,0
trip_2,09:35:00,09:40:00,6,4,0
trip_2,09:45:00,09:50:00,39,5,0
trip_2,09:55:00,10:00:00,33,6,0
trip_2,10:05:00,10:10:00,27,7,0

trip_3,10:00:00,10:05:00,1,1,0
trip_3,10:20:00,10:25:00,10,2,0
trip_3,10:40:00,10:45:00,26,3,0
trip_3,10:50:00,10:50:00,42,4,0
trip_3,11:00:00,11:05:00,1,5,0

trip_4,08:00:00,08:05:00,1,1,0
trip_4,08:10:00,08:15:00,12,2,0
trip_4,08:20:00,08:25:00,13,3,0
trip_4,08:30:00,08:35:00,14,4,0
trip_4,08:40:00,08:45:00,4,5,0
trip_4,08:50:00,08:55:00,15,6,0
trip_4,09:00:00,09:05:00,5,7,0
trip_4,09:10:00,09:15:00,18,8,0
trip_4,09:20:00,09:25:00,19,9,0
trip_4,09:30:00,09:35:00,21,10,0
trip_4,09:40:00,09:45:00,28,11,0
trip_4,09:50:00,09:55:00,20,12,0
trip_4,10:00:00,10:05:00,23,13,0

trip_5,08:00:00,08:05:00,1,1,0
trip_5,08:10:00,08:15:00,4,2,0
trip_5,08:20:00,08:25:00,5,3,0
trip_5,08:30:00,08:35:00,6,4,0
trip_5,08:40:00,08:45:00,9,5,0
trip_5,08:50:00,08:55:00,8,6,0
trip_5,09:00:00,09:05:00,12,7,0
trip_5,09:10:00,09:15:00,15,8,0
trip_5,09:20:00,09:25:00,18,9,0
trip_5,09:30:00,09:35:00,19,10,0
trip_5,09:40:00,09:45:00,20,11,0
trip_5,09:50:00,09:55:00,21,12,0
trip_5,10:00:00,10:05:00,28,13,0

trip_6,07:00:00,07:05:00,1,1,0
trip_6,07:10:00,07:15:00,4,2,0
trip_6,07:20:00,07:25:00,5,3,0
trip_6,07:30:00,07:35:00,12,4,0
trip_6,07:40:00,07:45:00,13,5,0
trip_6,07:50:00,07:55:00,14,6,0
trip_6,08:00:00,08:05:00,19,7,0
trip_6,08:10:00,08:15:00,15,8,0
trip_6,08:20:00,08:25:00,16,9,0
trip_6,08:30:00,08:35:00,17,10,0
trip_6,08:40:00,08:45:00,18,11,0
trip_6,08:50:00,08:55:00,22,12,0
trip_6,09:00:00,09:05:00,23,13,0
trip_6,09:10:00,09:15:00,25,14,0
trip_6,09:20:00,09:25:00,7,15,0
trip_6,09:30:00,09:35:00,9,16,0
trip_6,09:40:00,09:45:00,32,17,0
trip_6,09:50:00,09:55:00,35,18,0
trip_6,10:00:00,10:05:00,1,19,0
